i,j,vx,vy,tipo_nodo
69,2,0.797574,0.000000,Fluido Libre
69,3,0.956899,0.000000,Fluido Libre
69,4,0.956899,0.000000,Fluido Libre
69,5,0.797574,0.000000,Fluido Libre
69,6,0.478705,0.000000,Fluido Libre
69,7,0.000000,0.000000,Pared
70,0,0.000000,0.000000,Pared
70,1,0.478928,0.000000,Fluido Libre
70,2,0.797992,0.000000,Fluido Libre
70,3,0.957433,0.000000,Fluido Libre
70,4,0.957433,0.000000,Fluido Libre
70,5,0.797992,0.000000,Fluido Libre
70,6,0.478928,0.000000,Fluido Libre
70,7,0.000000,0.000000,Pared
71,0,0.000000,0.000000,Pared
71,1,0.479113,0.000000,Fluido Libre
71,2,0.798338,0.000000,Fluido Libre
71,3,0.957875,0.000000,Fluido Libre
71,4,0.957875,0.000000,Fluido Libre
71,5,0.798338,0.000000,Fluido Libre
71,6,0.479113,0.000000,Fluido Libre
71,7,0.000000,0.000000,Pared
72,0,0.000000,0.000000,Pared
72,1,0.479265,0.000000,Fluido Libre
72,2,0.798624,0.000000,Fluido Libre
72,3,0.958240,0.000000,Fluido Libre
72,4,0.958240,0.000000,Fluido Libre
72,5,0.798624,0.000000,Fluido Libre
72,6,0.479265,0.000000,Fluido Libre
72,7,0.000000,0.000000,Pared
73,0,0.000000,0.000000,Pared
73,1,0.479392,0.000000,Fluido Libre
73,2,0.798861,0.000000,Fluido Libre
73,3,0.958543,0.000000,Fluido Libre
73,4,0.958543,0.000000,Fluido Libre
73,5,0.798861,0.000000,Fluido Libre
73,6,0.479392,0.000000,Fluido Libre
73,7,0.000000,0.000000,Pared
74,0,0.000000,0.000000,Pared
74,1,0.479496,0.000000,Fluido Libre
74,2,0.799056,0.000000,Fluido Libre
74,3,0.958793,0.000000,Fluido Libre
74,4,0.958793,0.000000,Fluido Libre
74,5,0.799056,0.000000,Fluido Libre
74,6,0.479496,0.000000,Fluido Libre
74,7,0.000000,0.000000,Pared
75,0,0.000000,0.000000,Pared
75,1,0.479582,0.000000,Fluido Libre
75,2,0.799217,0.000000,Fluido Libre
75,3,0.959000,0.000000,Fluido Libre
75,4,0.959000,0.000000,Fluido Libre
75,5,0.799217,0.000000,Fluido Libre
75,6,0.479582,0.000000,Fluido Libre
75,7,0.000000,0.000000,Pared
76,0,0.000000,0.000000,Pared
76,1,0.479652,0.000000,Fluido Libre
76,2,0.799349,0.000000,Fluido Libre
76,3,0.959168,0.000000,Fluido Libre
76,4,0.959168,0.000000,Fluido Libre
76,5,0.799349,0.000000,Fluido Libre
76,6,0.479652,0.000000,Fluido Libre
76,7,0.000000,0.000000,Pared
77,0,0.000000,0.000000,Pared
77,1,0.479705,0.000000,Fluido Libre
77,2,0.799451,0.000000,Fluido Libre
77,3,0.959301,0.000000,Fluido Libre
77,4,0.959301,0.000000,Fluido Libre
77,5,0.799451,0.000000,Fluido Libre
77,6,0.479705,0.000000,Fluido Libre
77,7,0.000000,0.000000,Pared
78,0,0.000000,0.000000,Pared
78,1,0.479738,0.000000,Fluido Libre
78,2,0.799517,0.000000,Fluido Libre
78,3,0.959388,0.000000,Fluido Libre
78,4,0.959388,0.000000,Fluido Libre
78,5,0.799517,0.000000,Fluido Libre
78,6,0.479738,0.000000,Fluido Libre
78,7,0.000000,0.000000,Pared
79,0,0.000000,0.000000,Pared
79,1,0.479738,0.000000,Salida
79,2,0.799517,0.000000,Salida
79,3,0.959388,0.000000,Salida
79,4,0.959388,0.000000,Salida
79,5,0.799517,0.000000,Salida
79,6,0.479738,0.000000,Salida
79,7,0.000000,0.000000,Pared
